id,name,host_id,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,city
32648149,Central  Apartment with Mountain and City Views,245480703,-33.91757,18.41961,Entire home/apt,871,2,14,0.55,1,Cape Town
32649365,Dream of Africa,184774364,-34.09204,18.86915,Entire home/apt,2056,7,0,,1,Cape Town
32652150,Modern light charming cottage in Camps Bay,213594833,-33.96375,18.37567,Entire home/apt,1030,3,32,1.05,1,Cape Town
32655464,1 Bedroom Budget City Centre apartment,1210580,-33.92709,18.41468,Entire home/apt,800,20,5,0.22,3,Cape Town
32656973,Cozy and Traquil Private Room,87128038,-34.03277,18.34986,Private room,500,1,8,0.25,4,Cape Town
32657560,Scandinavian Apartment and Amazing Views,8287346,-34.0892,18.45306,Entire home/apt,564,4,29,0.9,2,Cape Town
32658385,Spacious guest- suite amidst the pine trees,58699863,-34.01147,18.37627,Entire home/apt,821,2,42,1.8,2,Cape Town
32661050,Victorian Manor House With WrapAround Porch + Pool,18778051,-33.94044,18.4123,Entire home/apt,3375,4,14,0.44,1,Cape Town
32664343,Relaxing beach front villa with spectacular views,86025575,-33.80504,18.46512,Entire home/apt,1899,3,15,0.49,1,Cape Town
32677646,Minghe Apartment,173850503,-33.8348,18.53921,Entire home/apt,3100,1,0,,1,Cape Town
32678712,"The African Attic, Mountain Apartment, Clovelly",55393864,-34.12516,18.43428,Entire home/apt,1600,2,0,,2,Cape Town
32680330,Trendy City Center Studio,245552356,-33.92896,18.42226,Entire home/apt,690,2,7,0.22,1,Cape Town
32680394,Simon's Bay Views,63339950,-34.19643,18.42952,Entire home/apt,1800,5,20,0.96,1,Cape Town
32682180,"Charming Rosmead Cottage, in the heart of Kalk Bay",31296698,-34.12442,18.45104,Entire home/apt,865,2,65,2.45,1,Cape Town
32686559,Garden Room,241823163,-33.93951,18.47256,Private room,375,2,2,0.09,4,Cape Town
32686598,Plum Room,241823163,-33.94027,18.4728,Private room,300,1,3,0.3,4,Cape Town
32689118,Bali Room,241823163,-33.93914,18.47374,Private room,400,1,6,0.2,4,Cape Town
32691448,"The Garden Suite, Pinelands",245806345,-33.93753,18.51568,Entire home/apt,390,2,98,3.25,1,Cape Town
32694985,Studio Apartment,233852921,-33.88454,18.51649,Entire home/apt,1050,2,1,0.91,1,Cape Town
32705898,Glorious Views & Balcony - 2Bed/2Bath + Parking,189159760,-33.92569,18.41474,Entire home/apt,1493,3,69,2.18,13,Cape Town
32707634,The Vineyard West,176989679,-33.82569,18.74059,Private room,550,1,0,,4,Cape Town
32708607,Blouberg beachfront apartment,42876519,-33.81472,18.47372,Private room,274,10,1,1.0,2,Cape Town
32708904,107 On Circle,218425834,-33.8236,18.50811,Private room,599,2,2,0.06,1,Cape Town
32712875,Vibrant 2 BR Apartment with Mountain Views,245974536,-33.92868,18.41226,Entire home/apt,688,2,27,0.94,1,Cape Town
32716717,508 - Great Value in Central Cape Town,9669737,-33.92268,18.42056,Entire home/apt,878,1,198,6.35,10,Cape Town
32717467,Chapmans Peak Holiday Home - Trendy Locals Hotspot,50419138,-34.04433,18.36331,Entire home/apt,1950,4,2,0.06,2,Cape Town
32721673,Sunset Beach Surprise,246048750,-33.84912,18.4925,Entire home/apt,505,2,45,1.48,1,Cape Town
32727663,The Sheraton,246105536,-33.81392,18.506,Entire home/apt,1500,2,1,0.03,1,Cape Town
32733722,Executive apartment,109780947,-33.90731,18.40021,Entire home/apt,3000,3,4,0.13,1,Cape Town
32741936,Grace Cottage - Perfect for a getaway,42607639,-34.05808,18.44276,Entire home/apt,800,1,46,1.47,1,Cape Town
32753692,"House on Irene Avenue, Somerset West",246320945,-34.06696,18.84638,Entire home/apt,950,2,17,0.63,1,Cape Town
32754126,The Guest suite,242432663,-34.02212,18.43628,Private room,600,2,2,0.09,4,Cape Town
32760130,Marnas Private Self Catering @ 55,57878375,-33.81565,18.73805,Entire home/apt,1586,2,50,37.5,2,Cape Town
32763342,"59 De Villiers Drive, Durbanville, Self Catering",246405299,-33.83708,18.65636,Entire home/apt,725,1,9,0.42,1,Cape Town
32770952,Protea suite,38445588,-34.06417,18.82331,Entire home/apt,710,1,26,1.02,2,Cape Town
32772655,"Stunning view, private pool and glorious sunsets",53844080,-33.80931,18.46887,Entire home/apt,2134,3,9,0.29,1,Cape Town
32773843,Harbour Studio,246505624,-34.16472,18.86128,Entire home/apt,1000,2,35,1.1,2,Cape Town
32775266,Harbour Terrace,246505624,-34.16704,18.86116,Entire home/apt,1000,2,16,0.51,2,Cape Town
